,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.012617111206054688,0.0,359,359.0,0,102,integer optimal solution
30_0.25_2-1,0.03591203689575195,0.0,353,353.0,0,287,integer optimal solution
30_0.25_2-2,0.012423038482666016,0.0,486,486.0,0,104,integer optimal solution
30_0.25_2-3,0.03467202186584473,0.0,421,421.0,0,176,integer optimal solution
30_0.25_2-4,0.01344919204711914,0.0,346,346.0,0,132,integer optimal solution
30_0.25_4-0,0.02343893051147461,0.0,484,484.0,0,121,integer optimal solution
30_0.25_4-1,0.02643108367919922,0.0,415,415.0,0,159,integer optimal solution
30_0.25_4-2,0.023813962936401367,0.0,422,422.0,0,138,integer optimal solution
30_0.25_4-3,0.03828001022338867,0.0,374,374.0,0,173,integer optimal solution
30_0.25_4-4,0.01413416862487793,0.0,373,373.0,0,133,integer optimal solution
30_0.25_8-0,0.011895179748535156,0.0,392,392.0,0,115,integer optimal solution
30_0.25_8-1,0.02190685272216797,0.0,452,452.0,0,137,integer optimal solution
30_0.25_8-2,0.013720989227294922,0.0,432,432.0,0,124,integer optimal solution
30_0.25_8-3,0.03158688545227051,0.0,438,438.0,0,194,integer optimal solution
30_0.25_8-4,0.031787872314453125,0.0,380,380.0,0,156,integer optimal solution
30_0.5_2-0,0.24005484580993652,0.0,229,229.0,2553,12120,integer optimal solution
30_0.5_2-1,0.05938601493835449,0.0,324,324.0,0,277,integer optimal solution
30_0.5_2-2,0.016241073608398438,0.0,250,250.0,0,184,integer optimal solution
30_0.5_2-3,0.024895906448364258,0.0,313,313.0,0,179,integer optimal solution
30_0.5_2-4,0.028592824935913086,0.0,258,258.0,0,198,integer optimal solution
30_0.5_4-0,0.05837106704711914,0.0,351,351.0,0,197,integer optimal solution
30_0.5_4-1,0.05195307731628418,0.0,275,275.0,0,296,integer optimal solution
30_0.5_4-2,0.05097198486328125,0.0,264,264.0,0,349,integer optimal solution
30_0.5_4-3,0.18021893501281738,0.0,264,264.0,537,3710,integer optimal solution
30_0.5_4-4,0.018948793411254883,0.0,229,229.0,0,128,integer optimal solution
30_0.5_8-0,0.040776968002319336,0.0,361,361.0,0,210,integer optimal solution
30_0.5_8-1,0.048256874084472656,0.0,259,259.0,0,288,integer optimal solution
30_0.5_8-2,0.03380918502807617,0.0,311,311.0,0,245,integer optimal solution
30_0.5_8-3,0.017516136169433594,0.0,286,286.0,0,203,integer optimal solution
30_0.5_8-4,0.05852389335632324,0.0,251,251.0,0,291,integer optimal solution
30_0.75_2-0,0.18745207786560059,0.0,231,231.0,465,3678,integer optimal solution
30_0.75_2-1,0.10860204696655273,0.0,285,285.0,0,612,integer optimal solution
30_0.75_2-2,0.036583900451660156,0.0,169,169.0,0,266,integer optimal solution
30_0.75_2-3,0.05498099327087402,0.0,243,243.0,0,271,integer optimal solution
30_0.75_2-4,0.06234002113342285,0.0,191,191.0,0,328,integer optimal solution
30_0.75_4-0,0.021873950958251953,0.0,184,184.0,0,218,integer optimal solution
30_0.75_4-1,0.026643991470336914,0.0,180,180.0,0,213,integer optimal solution
30_0.75_4-2,0.025946855545043945,0.0,167,167.0,0,225,integer optimal solution
30_0.75_4-3,0.024281978607177734,0.0,185,185.0,0,244,integer optimal solution
30_0.75_4-4,0.026314973831176758,0.0,223,223.0,0,291,integer optimal solution
30_0.75_8-0,0.07723093032836914,0.0,216,216.0,0,313,integer optimal solution
30_0.75_8-1,0.08124208450317383,0.0,217,217.0,0,289,integer optimal solution
30_0.75_8-2,0.08031201362609863,0.0,210,210.0,0,389,integer optimal solution
30_0.75_8-3,0.025508880615234375,0.0,120,120.0,0,221,integer optimal solution
30_0.75_8-4,0.026803016662597656,0.0,173,173.0,0,213,integer optimal solution
60_0.25_2-0,0.03646111488342285,0.0,554,554.0,0,525,integer optimal solution
60_0.25_2-1,0.2324540615081787,0.0,625,625.0,262,3058,integer optimal solution
60_0.25_2-2,0.5174059867858887,0.0,571,571.0,2153,16896,integer optimal solution
60_0.25_2-3,0.20416998863220215,0.0,598,598.0,0,832,integer optimal solution
60_0.25_2-4,0.09400010108947754,0.0,654,654.0,0,593,integer optimal solution
60_0.25_4-0,0.11236000061035156,0.0,541,541.0,0,610,integer optimal solution
60_0.25_4-1,0.1319119930267334,0.0,605,605.0,0,587,integer optimal solution
60_0.25_4-2,0.31514811515808105,0.0,620,620.0,439,2325,integer optimal solution
60_0.25_4-3,0.03838086128234863,0.0,582,582.0,0,434,integer optimal solution
60_0.25_4-4,0.2718520164489746,0.0,481,481.0,0,1171,integer optimal solution
60_0.25_8-0,0.036834001541137695,0.0,526,526.0,0,436,integer optimal solution
60_0.25_8-1,0.14831781387329102,0.0,547,547.0,0,786,integer optimal solution
60_0.25_8-2,0.03711700439453125,0.0,611,611.0,0,431,integer optimal solution
60_0.25_8-3,0.10238909721374512,0.0,472,472.0,0,568,integer optimal solution
60_0.25_8-4,0.18068695068359375,0.0,537,537.0,0,947,integer optimal solution
60_0.5_2-0,0.19365286827087402,0.0,292,292.0,0,998,integer optimal solution
60_0.5_2-1,0.22645306587219238,0.0,258,258.0,0,1062,integer optimal solution
60_0.5_2-2,0.11507582664489746,0.0,229,229.0,0,923,integer optimal solution
60_0.5_2-3,0.12335896492004395,0.0,258,258.0,0,931,integer optimal solution
60_0.5_2-4,0.11524701118469238,0.0,355,355.0,0,764,integer optimal solution
60_0.5_4-0,0.13445019721984863,0.0,258,258.0,0,964,integer optimal solution
60_0.5_4-1,0.09703898429870605,0.0,310,310.0,0,804,integer optimal solution
60_0.5_4-2,0.10226893424987793,0.0,353,353.0,0,685,integer optimal solution
60_0.5_4-3,0.05879998207092285,0.0,302,302.0,0,788,integer optimal solution
60_0.5_4-4,0.09892797470092773,0.0,300,300.0,0,836,integer optimal solution
60_0.5_8-0,0.13550901412963867,0.0,339,339.0,0,710,integer optimal solution
60_0.5_8-1,0.09385895729064941,0.0,249,249.0,0,800,integer optimal solution
60_0.5_8-2,0.4046468734741211,0.0,323,323.0,386,3528,integer optimal solution
60_0.5_8-3,0.3327300548553467,0.0,275,275.0,85,1796,integer optimal solution
60_0.5_8-4,0.09937810897827148,0.0,339,339.0,0,744,integer optimal solution
60_0.75_2-0,0.18927788734436035,0.0,182,182.0,0,1021,integer optimal solution
60_0.75_2-1,0.2569739818572998,0.0,194,194.0,0,1208,integer optimal solution
60_0.75_2-2,0.3017160892486572,0.0,251,251.0,0,962,integer optimal solution
60_0.75_2-3,0.47318506240844727,0.0,233,233.0,0,1347,integer optimal solution
60_0.75_2-4,0.20596885681152344,0.0,242,242.0,0,1056,integer optimal solution
60_0.75_4-0,0.3546791076660156,0.0,200,200.0,0,1226,integer optimal solution
60_0.75_4-1,0.21014809608459473,0.0,201,201.0,0,1030,integer optimal solution
60_0.75_4-2,0.21182990074157715,0.0,259,259.0,0,1196,integer optimal solution
60_0.75_4-3,0.1801459789276123,0.0,239,239.0,0,1226,integer optimal solution
60_0.75_4-4,0.10427284240722656,0.0,164,164.0,0,924,integer optimal solution
60_0.75_8-0,0.2046799659729004,0.0,229,229.0,0,1404,integer optimal solution
60_0.75_8-1,0.2545328140258789,0.0,121,121.0,0,959,integer optimal solution
60_0.75_8-2,0.17118597030639648,0.0,216,216.0,0,1219,integer optimal solution
60_0.75_8-3,0.18780207633972168,0.0,162,162.0,0,1018,integer optimal solution
60_0.75_8-4,0.20989298820495605,0.0,186,186.0,0,1331,integer optimal solution
90_0.25_2-0,0.4167821407318115,0.0,660,660.0,398,4316,integer optimal solution
90_0.25_2-1,0.1880171298980713,0.0,455,455.0,0,1375,integer optimal solution
90_0.25_2-2,0.906702995300293,0.0,516,516.0,4747,42687,integer optimal solution
90_0.25_2-3,0.6586470603942871,0.0,488,488.0,1181,12513,integer optimal solution
90_0.25_2-4,0.26141881942749023,0.0,546,546.0,0,1014,integer optimal solution
90_0.25_4-0,0.25780510902404785,0.0,682,682.0,0,1452,integer optimal solution
90_0.25_4-1,0.0827031135559082,0.0,566,566.0,0,1075,integer optimal solution
90_0.25_4-2,1.0671350955963135,0.0,579,579.0,6028,48279,integer optimal solution
90_0.25_4-3,0.5270588397979736,0.0,651,651.0,356,5048,integer optimal solution
90_0.25_4-4,0.08121800422668457,0.0,651,651.0,0,1045,integer optimal solution
90_0.25_8-0,0.4834108352661133,0.0,612,612.0,0,1870,integer optimal solution
90_0.25_8-1,0.07981395721435547,0.0,580,580.0,0,818,integer optimal solution
90_0.25_8-2,0.08589410781860352,0.0,632,632.0,0,860,integer optimal solution
90_0.25_8-3,0.4409489631652832,0.0,686,686.0,0,1308,integer optimal solution
90_0.25_8-4,0.0766761302947998,0.0,656,656.0,0,917,integer optimal solution
90_0.5_2-0,0.32359981536865234,0.0,355,355.0,0,1591,integer optimal solution
90_0.5_2-1,0.3275930881500244,0.0,356,356.0,0,1957,integer optimal solution
90_0.5_2-2,0.893151044845581,0.0,328,328.0,0,2528,integer optimal solution
90_0.5_2-3,0.8730499744415283,0.0,295,295.0,334,3856,integer optimal solution
90_0.5_2-4,0.35092616081237793,0.0,300,300.0,0,1796,integer optimal solution
90_0.5_4-0,0.1603100299835205,0.0,262,262.0,0,1594,integer optimal solution
90_0.5_4-1,0.33402204513549805,0.0,359,359.0,0,2253,integer optimal solution
90_0.5_4-2,3.5067789554595947,0.0,334,334.0,18533,144019,integer optimal solution
90_0.5_4-3,0.36760997772216797,0.0,323,323.0,0,1990,integer optimal solution
90_0.5_4-4,0.3926351070404053,0.0,275,275.0,0,2185,integer optimal solution
90_0.5_8-0,0.18541407585144043,0.0,275,275.0,0,2170,integer optimal solution
90_0.5_8-1,0.3301558494567871,0.0,337,337.0,0,2272,integer optimal solution
90_0.5_8-2,0.2839648723602295,0.0,363,363.0,0,1724,integer optimal solution
90_0.5_8-3,0.39478397369384766,0.0,226,226.0,0,1527,integer optimal solution
90_0.5_8-4,0.3820059299468994,0.0,286,286.0,0,2247,integer optimal solution
90_0.75_2-0,0.49048709869384766,0.0,171,171.0,0,2043,integer optimal solution
90_0.75_2-1,2.5378289222717285,0.0,171,171.0,8929,72641,integer optimal solution
90_0.75_2-2,1.643435001373291,0.0,194,194.0,961,8636,integer optimal solution
90_0.75_2-3,0.48676109313964844,0.0,163,163.0,0,1728,integer optimal solution
90_0.75_2-4,0.4642021656036377,0.0,174,174.0,0,1776,integer optimal solution
90_0.75_4-0,2.0717060565948486,0.0,207,207.0,0,2391,integer optimal solution
90_0.75_4-1,0.6009228229522705,0.0,184,184.0,0,2156,integer optimal solution
90_0.75_4-2,0.22835397720336914,0.0,227,227.0,0,1896,integer optimal solution
90_0.75_4-3,1.6257529258728027,0.0,228,228.0,2262,15257,integer optimal solution
90_0.75_4-4,2.2542710304260254,0.0,199,199.0,5930,41915,integer optimal solution
90_0.75_8-0,2.104011058807373,0.0,219,219.0,172,3800,integer optimal solution
90_0.75_8-1,0.4828321933746338,0.0,178,178.0,0,1790,integer optimal solution
90_0.75_8-2,14.626045942306519,0.0,196,196.0,82898,763745,integer optimal solution
